Año,Clave_Ent,Entidad,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2015,7,Chiapas,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,No especificado,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,7,Chiapas,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma de fuego,0,1,1,0,2,0,0,0,0.0,1.0,1.0,0.0
2015,7,Chiapas,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma blanca,0,0,0,0,0,1,0,0,2.0,2.0,1.0,0.0
2015,7,Chiapas,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,42,31,31,26,32,27,18,17,25.0,22.0,28.0,31.0
2015,7,Chiapas,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con otro elemento,31,22,40,43,32,33,32,19,27.0,29.0,30.0,30.0
2015,7,Chiapas,La vida y la Integridad corporal,Lesiones,Lesiones culposas,No especificado,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,7,Chiapas,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma de fuego,0,0,0,0,0,1,0,0,0.0,1.0,1.0,0.0
2015,7,Chiapas,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma blanca,0,0,0,1,0,2,2,0,1.0,1.0,0.0,0.0
2015,7,Chiapas,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con otro elemento,2,2,0,3,2,1,3,2,1.0,4.0,1.0,5.0
2015,7,Chiapas,La vida y la Integridad corporal,Feminicidio,Feminicidio,No especificado,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,7,Chiapas,La vida y la Integridad corporal,Aborto,Aborto,Aborto,0,2,0,1,2,0,2,2,5.0,1.0,1.0,4.0
2015,7,Chiapas,La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,7,Chiapas,Libertad personal,Secuestro,Secuestro,Secuestro extorsivo,0,0,2,0,0,1,0,0,1.0,1.0,2.0,3.0
2015,7,Chiapas,Libertad personal,Secuestro,Secuestro,Secuestro con calidad de rehén,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,7,Chiapas,Libertad personal,Secuestro,Secuestro,Secuestro para causar daño,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,7,Chiapas,Libertad personal,Secuestro,Secuestro,Secuestro exprés,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,7,Chiapas,Libertad personal,Secuestro,Secuestro,Otro tipo de secuestros,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,7,Chiapas,Libertad personal,Tráfico de menores,Tráfico de menores,Tráfico de menores,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0
2015,7,Chiapas,Libertad personal,Rapto,Rapto,Rapto,1,1,0,0,0,1,0,0,1.0,0.0,1.0,0.0
2015,7,Chiapas,Libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,6,7,4,4,2,8,2,7,5.0,3.0,3.0,6.0
2015,7,Chiapas,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual,16,19,36,26,22,27,17,12,19.0,26.0,25.0,21.0
2015,7,Chiapas,La libertad y la seguridad sexual,Acoso sexual,Acoso sexual,Acoso sexual,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,7,Chiapas,La libertad y la seguridad sexual,Hostigamiento sexual,Hostigamiento sexual,Hostigamiento sexual,1,3,1,2,1,1,3,0,6.0,1.0,1.0,1.0
2015,7,Chiapas,La libertad y la seguridad sexual,Violación simple,Violación simple,Violación simple,63,77,75,74,62,63,59,50,38.0,50.0,56.0,50.0
2015,7,Chiapas,La libertad y la seguridad sexual,Violación equiparada,Violación equiparada,Violación equiparada,0,3,0,0,2,2,4,4,1.0,0.0,2.0,6.0
2015,7,Chiapas,La libertad y la seguridad sexual,Incesto,Incesto,Incesto,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015,7,Chiapas,La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,4,6,7,4,4,1,3,7,2.0,6.0,4.0,4.0
